"performer_participant_code","performer_name","performer_age","performer_score_rd1","performer_score_rd2"
"nibol5mi","Abigail H.",28,5,5
"g9r910ln","Amelia B.",26,5,2
"ow5kynck","Amy Y.",29,4,2
"z9qm4ul2","Amy B.",24,5,3
"i3i4v6mg","Bethany K.",25,2,0
"tht8pael","Chantelle A.",28,5,0
"uiyg6ey7","Chantelle C.",24,2,2
"eijk3xho","Chantelle O",28,5,3
"i2l6kuns","Daisy C.",29,5,3
"ftkng9we","Daisy T.",25,2,4
"w0n2kox4","Daisy M.",29,2,2
"isl0hmg0","Daisy Y.",24,2,1
"9xsxige9","Danielle W.",28,2,2
"jwoh6e0o","Danielle Y.",25,1,2
"ngnou47i","Grace R.",29,2,3
"08w18k30","Grace F.",24,2,2
"xo3x6y77","Grace T.",29,4,3
"m1t150f7","Grace J.",27,3,1
"1qspicep","Hayley E.",24,3,4
"ike2r58t","Jasmine L.",27,1,2
"23s883fo","Joanna K.",29,5,2
"wegtfoxc","Kate H.",25,4,3
"z8ydh0kn","Laura B.",24,4,2
"fqwquh5x","Leah Y.",29,4,2
"vtvx5j07","Lucy B.",25,1,1
"i3yaaxo6","Lucy K.",26,0,2
"bvmbtxlr","Lydia A.",26,0,0
"efadikux","Megan C.",27,0,1
"qym5u73q","Megan O",24,0,1
"ofuezwzm","Melissa C.",27,1,1
"jlbjjjzz","Melissa T.",25,0,1
"1j45xn5c","Molly M.",29,2,3
"tnbowlki","Natalie Y.",29,5,1
"tezp9wc5","Natalie W.",26,5,4
"j2xl2fca","Nicole Y.",28,2,4
"41vgkbto","Phoebe R.",29,3,3
"kh425ps2","Rachel F.",29,3,2
"v0ytic3h","Rachel T.",26,2,4
"ehyo4c7j","Rebecca J.",29,3,3
"ymkr4u75","Shannon E.",26,3,2
"bsmxx6uo","Shannon L.",27,0,1
"ka102dri","Sian K.",25,3,2
"hyu5hk2o","Sian H.",25,4,1
"7ysey9gj","Stacey B.",28,3,3
"10k92wb6","Victoria Y.",24,3,2
