"performer_participant_code","performer_name","performer_age","performer_score_rd1","performer_score_rd2"
"4r5xawqb","Adam R.",28,2,3
"k8jpd6js","Adam K.",26,4,3
"tlf6429t","Adam N.",25,4,3
"tu35syw4","Alexander P",28,3,3
"43l3hb47","Benjamin H.",27,5,5
"edu6c2zs","Callum P",26,3,3
"74m1i7sp","Callum H.",28,3,2
"lw0ykzx1","Cameron M.",27,4,2
"6cypir5h","Craig R.",27,2,3
"yyqaeifm","Craig J.",28,2,2
"c3hvzmmf","Dale H.",28,2,3
"vh0tlvzv","Dale D.",29,3,3
"oa1leuk1","Dale Y.",24,3,1
"0vs8i99r","Dean B.",27,4,4
"mku134qz","Dylan R.",28,1,1
"yby203ti","Dylan M.",26,2,1
"6ie91qhz","Edward T.",26,5,4
"9hlcv34n","George F.",28,1,2
"kyixcroh","George T.",27,3,3
"uz96gwu2","Greg Y.",29,5,1
"kcll311j","Greg K.",27,4,5
"zcn8w2ie","Ian R.",29,4,3
"ecl85d5t","Jack K.",26,4,3
"djutt34t","Jack N.",25,0,1
"o0b8hnnm","Jack P",25,3,3
"7jayscvk","Jack H.",27,5,4
"08buto4m","Jacob P",24,0,2
"hl5uwbhy","Jacob H.",28,3,4
"auxuyum6","John M.",26,3,3
"laqagpl0","Jonathan R.",28,1,0
"3g7enw0p","Joshua J.",24,4,4
"98s2ybep","Kyle H.",27,5,4
"xwawbib9","Mark D.",27,3,3
"fcevwrya","Martin Y.",26,2,3
"x3iwhtej","Matthew B.",27,3,2
"qgf98mlr","Nathan R.",27,4,3
"rwgx6kgu","Oliver M.",26,0,0
"vq36gh38","Peter T.",27,2,3
"r3eiye9q","Philip F.",24,5,4
"5mf30521","Philip T.",29,3,3
"whybab2j","Richard Y.",26,0,3
"oshuf6po","Rory K.",26,4,4
"snz9oul4","Scott R.",24,4,0
"ti6y76zf","Scott K.",24,4,2
"op5uh48n","Shaun N.",27,3,2
"dam8p903","Thomas P",27,5,2
"ljtgij2y","Thomas H.",25,2,4
"i3wm1yhk","Thomas R.",29,4,2
"6qusj94e","Thomas M.",29,4,3
